日期,股票代號,股票名稱,收盤價,成交量(張),外資當日(張),外資5日累計,投信當日(張),投信5日累計,自營商當日(張),融資增減(張),融資5日累計,借券增減(張),MA20乖離(%),籌碼評價,Broker_Buy_Sell_Diff,Chip_Concentration_5D,SBL_Sell_Balance,Short_Cover_Days,VWAP_20D_Approx,VWAP_Bias,data_source,is_simulated
20260203,0050,0050,72.95,73734.0,-414.0,-164720.0,,1911.0,13688.0,7650,36283,-4010833,-0.1,偏空,33,-6.38,137857000,0.99,71.73,1.7,partial,1
20260203,00708L,S&P黃金正2,,,3501.0,2074.0,,-210.0,8304.0,10094,45162,-27018,,中性,31,5.02,1998000,28.83,114.39,0.0,partial,1
20260203,1519,華城,947.0,5962.0,-920.0,1481.0,-130.0,-302.0,173.0,2775,13627,-78719,-4.96,中性,-47,8.37,3543000,0.99,932.15,1.59,partial,1
20260203,1605,華新,36.6,209507.0,-6149.0,2426.0,-35051.0,19690.0,4094.0,88957,396542,-1105448,-12.96,偏多,37,-7.31,175067918,0.73,41.21,-11.19,partial,1
20260203,2308,台達電,1215.0,11407.0,-1110.0,138.0,-41.0,-338.0,424.0,6283,34689,-648628,-1.7,中性,41,-4.17,2189680,0.19,1149.53,5.7,partial,1
20260203,2330,台積電,1800.0,30386.0,-2924.0,-17775.0,1083.0,2890.0,394.0,21879,100916,-6482876,0.61,偏空,13,-8.98,1553680,0.04,1739.86,3.46,partial,1
20260203,2344,華邦電,105.5,450168.0,-11913.0,-73327.0,-1291.0,16647.0,7049.0,144774,738731,-1110676,-14.51,偏空,-15,-6.72,30740000,0.12,115.13,-8.36,partial,1
20260203,2383,台光電,1855.0,4101.0,124.0,924.0,106.0,92.0,89.0,2093,9970,-89490,2.6,偏多,39,-2.55,1817528,0.47,1681.45,10.32,partial,1
20260203,3661,世芯-KY,3320.0,2364.0,92.0,-2187.0,61.0,-150.0,44.0,5973,29668,-19723,1.62,主力積極賣出,35,-3.98,5343503,2.2,3418.66,-2.89,partial,1
20260203,4958,臻鼎-KY,181.0,58070.0,-7402.0,3147.0,214.0,695.0,1746.0,30883,143708,-267471,0.72,偏多,-6,-6.36,21769945,0.53,173.89,4.09,partial,1
20260203,6442,光聖,1830.0,5927.0,-275.0,3270.0,133.0,-220.0,79.0,4445,23499,-19229,11.31,中性,-23,7.52,1868000,0.43,1465.5,24.87,partial,1
20260203,3081,聯亞,1095.0,903.0,424.0,1389.0,,935.0,88.0,-123,-1064,0,0.0,主力積極買進,25,5.83,2209400,2.45,771.69,41.9,partial,1
20260203,3260,威剛,312.5,23943.0,521.0,-5929.0,-993.0,22.0,-635.0,240,-2090,0,0.0,中性,5,6.72,7790640,0.33,335.61,-6.89,partial,1
20260203,3265,台新科,136.0,1285.0,122.0,340.0,,410.0,3.0,-7,-470,0,0.0,主力積極買進,23,-1.97,2204000,1.72,139.79,-2.71,partial,1
20260203,4979,華星光,314.0,29576.0,-1860.0,2980.0,254.0,6138.0,-86.0,310,-2651,0,0.0,主力積極買進,-46,9.68,11417993,0.39,303.31,3.52,partial,1
